readcode,readterm,medcode,who_region,ons_nomis_region
13f8.00,Born in Costa Rica,64984,paho,The Americas & Caribbean
13eR.00,Born in Mali,65310,afro,Africa
13jA.00,Born in St. Vincent,66551,paho,The Americas & Caribbean
13j8.00,Born in St. Kitts and Nevis,66553,paho,The Americas & Caribbean
13eU.00,Born in North Korea,66560,wpro,Middle East & Asia
13gD.00,Born in Djibouti,68866,emro,Middle East & Asia
13dQ.00,Born in Luxembourg,69131,euro,Europe
13j7.00,Born in Puerto Rico,69135,paho,The Americas & Caribbean
13gT.00,Born in Mauritania,69143,afro,Africa
13fK.00,Born in Suriname,69426,paho,The Americas & Caribbean
13eN.00,Born in Laos,69431,wpro,Middle East & Asia
13g8.00,Born in Cape Verde Islands,69560,afro,Africa
13fC.00,Born in Guatemala,69806,paho,The Americas & Caribbean
13dT.00,Born in Monaco,71190,euro,Europe
13fG.00,Born in Nicaragua,74892,paho,The Americas & Caribbean
13eQ.00,Born in Maldives,91328,searo,Middle East & Asia
13gO.00,Born in Lesotho,93697,afro,Africa
13gF.00,Born in Equatorial Guinea,93923,afro,Africa
13d1.00,Born in Andorra,93935,euro,Europe
13f1.00,Born in Belize,94050,paho,The Americas & Caribbean
13dO.00,Born in Liechtenstein,95708,euro,Europe
13t..00,Born in British overseas territory,96295,euro,Europe
13g6.00,Born in Cambodia,96636,wpro,Middle East & Asia
13dm.00,Born in former Yugoslav Republic of Macedonia,96824,euro,Europe
13e4.00,Born in Bhutan,97390,searo,Middle East & Asia
13t1.00,Born in Bermuda,98038,paho,The Americas & Caribbean
13da.00,Born in San Marino,98530,euro,Europe
13dj.00,Born in Vatican City,99119,euro,Europe
13g9.00,Born in Central African Republic,99258,afro ,Africa
13jD.00,Born in Dominica,99431,paho,The Americas & Caribbean
13ei.00,Born in Tajikistan,100007,euro,Middle East & Asia
13dn.00,Born in Serbia,100517,euro,Europe
13gB.00,Born in Comoros Islands,101158,afro,Africa
13gb.00,Born in Sao Tome and Principe,101591,afro,Africa
13Zq.00,Country of birth unknown,101846,NA,NA
13v0.00,Born in Martinique,103364,paho,The Americas & Caribbean
13k9.00,Born in Western Samoa,103965,wpro,Antarctica & Oceania
13t2.00,Born in Anguilla,104983,paho,The Americas & Caribbean
13t0.00,Born in Montserrat,105923,paho,The Americas & Caribbean
13jE.00,Born in Aruba,108271,paho,The Americas & Caribbean
13v7.00,Born in Guadeloupe,108936,paho,The Americas & Caribbean
13eq.00,Born in Christmas Island,109226,wpro,Antarctica & Oceania
13dq.00,Born in Republic of Moldova,109260,euro,Europe
13t5.00,"Born in Saint Helena, Ascension and Tristan da Cunha",109276,euro,Europe
13do.00,Born in Montenegro,109457,euro,Europe
13jG.00,Born in Saint Vincent and the Grenadines,109458,paho,The Americas & Caribbean
13t3.00,Born in British Virgin Islands,109727,paho,The Americas & Caribbean
13kB.00,Born in American Samoa,109791,wpro,Antarctica & Oceania
13dp.00,Born in Belarus,109898,euro,Europe
13gq.00,Born in Democratic Republic of Congo,109992,afro,Africa
13v4.00,Born in French Guiana,111051,paho,The Americas & Caribbean
13k8.00,Born in Vanuatu,111392,wpro,Antarctica & Oceania
13jH.00,Born in Sint Maarten,111700,paho,The Americas & Caribbean
13dx.00,Born in Aland Islands,111774,euro,Europe
13t9.00,Born in Cayman Islands,112269,paho,The Americas & Caribbean
